-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
distributed computing|spreading of computation and data across a number of computers connected by a network|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
distributed denial of service attack|unauthorized access to a system resource or the delaying of system operations and functions in the way of compromising multiple systems to flood the bandwidth or resources of the targeted system, with resultant loss of availability to authorized users (ISO/IEC TR 7052:2023, Software engineering--Controlling frequently occurring risks during development and maintenance of custom software, 3.22)|
distributed processing|information processing in which discrete components can be located in different places, and where communication between components can suffer delay or can fail|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 3.2.2
distribution transparency|property of hiding from the user some specific aspects of the system's complexity needed to support distribution|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 11.1.1
distributional shift|in machine learning, the distance between the training data distribution and the desired data distribution (ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.29)|
disturbance|operational fault or event or anything that can change the state of the system (ISO/IEC 25045:2010 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Evaluation module for recoverability, 4.2)|
DIT|directory information tree|ISO/IEC 13235-3:1998 Information technology -- Open Distributed Processing -- Trading Function -- Part 3: Provision of Trading Function using OSI Directory service, 4
DITA|Darwin Information Typing Architecture|ISO/IEC/IEEE 26531:2023 Systems and software engineering -- Content management for product lifecycle, user and service management information for users, 3.2
diversity|in fault tolerance, realization of the same function by different means (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
dividing action|action which enables two or more chains|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 13.1.4
division of standards|division forms a family of standards serving complementary purposes (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.13)|
DL|Definition Language|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
DLC|data-life-cycle (ISO/IEC 25024:2015 Systems and software engineering - Systems and software Quality Requirements and Evaluation (SQuaRE) - Measurement of data, 5)|
DMA|direct memory access|ISO/IEC/IEEE 24765d:2015
DMAC|direct memory access controller|ISO/IEC/IEEE 24765d:2015
DMS|document management system|ISO/IEC/IEEE 24765h:2019
DMS|data management system|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
DN|distinguished name|ISO/IEC 13235-3:1998 Information technology -- Open Distributed Processing -- Trading Function -- Part 3: Provision of Trading Function using OSI Directory service, 4
DNN|deep neural network|ISO/IEC TR 29119-11:2020, Software and systems engineering--Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.2
DNS|Domain Name Service|ISO/IEC/IEEE 23026:2023 Systems and software engineering--Engineering and management of websites for systems, software, and services information, 3.2
do nothing alternative|in a decision analysis, the alternative of not investing in any of the proposed alternatives (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
document|uniquely identified unit of information for human use (ISO/IEC/IEEE 15289:2019 Systems and software engineering--Content of life-cycle information items (documentation), 3.1.10)|
document|to create a document as in|
document||ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
document|to add comments to a computer program|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
document|fixed and structured amount of information intended for human perception that can be managed and interchanged as a unit between users and systems (IEC/IEEE 82079-1:2019 Preparation of information for use (instructions for use) of products: Part 1: Principles and general requirements, 3.10)|
document|medium, and the information recorded on it, that generally has permanence and can be read by a person or a machine|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
document|information and the medium on which it is contained (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.36)|
